TC_Number,Category,Class_Name,Method_Name,Description,Groups
25,Registration,RegistrationTests,TC25_VerifyEmailLeadingSpace,TC_25: Verify email with leading space is handled gracefully,"functional,regression,ui"
26,Registration,RegistrationTests,TC26_VerifyEmailTrailingSpace,TC_26: Verify email with trailing space is handled gracefully,"functional,regression,ui"
27,Registration,RegistrationTests,TC27_VerifyUppercaseEmail,TC_27: Verify uppercase email input is accepted,"consumer,functional,ui"
28,Registration,RegistrationTests,TC28_VerifyEmailWithSubdomain,TC_28: Verify email with subdomain is accepted,"consumer,functional,ui"
29,Registration,RegistrationTests,TC29_VerifyDuplicateEmailRegistration,TC_29: Verify duplicate email registration is rejected,"functional,security,ui"
30,Registration,RegistrationTests,TC30_VerifyEmailSqlInjection,TC_30: Verify SQL injection in email is rejected,"functional,security,ui"
31,Registration,RegistrationTests,TC31_VerifyEmailXssInjection,TC_31: Verify XSS injection in email is rejected,"functional,security,ui"
32,Registration,RegistrationTests,TC32_VerifyPasswordValid,TC_32: Verify valid password input is accepted,"consumer,functional,ui"
33,Registration,RegistrationTests,TC33_VerifyPasswordMinLength,TC_33: Verify password shorter than minimum length is rejected,"functional,security,ui"
34,Registration,RegistrationTests,TC34_VerifyPasswordMaxLength,TC_34: Verify long password is handled gracefully,"functional,regression,ui"
35,Registration,RegistrationTests,TC35_VerifyPasswordOnlyNumbers,TC_35: Verify all-numeric password is rejected,"functional,security,ui"
36,Registration,RegistrationTests,TC36_VerifyPasswordOnlyLetters,TC_36: Verify all-letters password is rejected,"functional,security,ui"
37,Registration,RegistrationTests,TC37_VerifyPasswordWithSpaces,TC_37: Verify password with embedded space is rejected,"functional,security,ui"
38,Registration,RegistrationTests,TC38_VerifyPasswordLeadingSpace,TC_38: Verify password leading space is handled gracefully,"functional,regression,ui"
39,Registration,RegistrationTests,TC39_VerifyPasswordTrailingSpace,TC_39: Verify password trailing space is handled gracefully,"functional,regression,ui"
40,Registration,RegistrationTests,TC40_VerifyPasswordSpecialCharacters,TC_40: Verify password with special characters is accepted,"consumer,functional,ui"
41,Registration,RegistrationTests,TC41_VerifyPasswordCopyPaste,TC_41: Verify paste populates the password field,"consumer,functional,ui"
42,Registration,RegistrationTests,TC42_VerifyConfirmPasswordMatch,TC_42: Verify matching confirm password succeeds,"consumer,functional,ui"
43,Registration,RegistrationTests,TC43_VerifyConfirmPasswordMismatch,TC_43: Verify mismatched confirm password is rejected,"functional,security,ui"
44,Registration,RegistrationTests,TC44_VerifyConfirmPasswordEmpty,TC_44: Verify empty confirm password is rejected,"functional,security,ui"
45,Registration,RegistrationTests,TC45_VerifyConfirmPasswordCaseSensitivity,TC_45: Verify confirm password is case sensitive,"functional,security,ui"
46,Registration,RegistrationTests,TC46_VerifyConfirmPasswordWithSpaces,TC_46: Verify confirm password with trailing space is rejected,"functional,security,ui"
52,Registration,RegistrationTests,TC52_VerifyTermsUnchecked,TC_52: Verify unchecked terms triggers terms validation,"functional,security,ui"
53,Registration,RegistrationTests,TC53_VerifyTermsChecked,TC_53: Verify registration succeeds when terms are accepted,"consumer,functional,ui"
54,Registration,RegistrationTests,TC54_VerifyTermsLink,TC_54: Verify terms link opens legal content,"consumer,functional,ui"
55,Registration,RegistrationTests,TC55_VerifyTermsModal,TC_55: Verify terms modal exposes terms content,"consumer,functional,ui"
56,Registration,RegistrationTests,TC56_VerifyNewsletterChecked,TC_56: Verify checked newsletter checkbox supports graceful flow,"consumer,functional,ui"
57,Registration,RegistrationTests,TC57_VerifyNewsletterUnchecked,TC_57: Verify unchecked newsletter supports graceful flow,"consumer,functional,ui"
58,Registration,RegistrationTests,TC58_VerifyNewsletterStorePreference,TC_58: Verify newsletter preference persistence,"functional,regression,ui"
59,Registration,RegistrationTests,TC59_VerifyDoubleClickSubmit,TC_59: Verify double-click submit produces one stable response,"functional,regression,ui"
60,Registration,RegistrationTests,TC60_VerifyBrowserRefresh,TC_60: Verify registration page survives browser refresh,"functional,regression,ui"
61,Registration,RegistrationTests,TC61_VerifyBackButton,TC_61: Verify browser back keeps user in a usable auth flow,"functional,regression,ui"
62,Registration,RegistrationTests,TC62_VerifySlowNetworkRegistration,TC_62: Verify registration flow is stable under slow network,"functional,regression,ui"
63,Registration,RegistrationTests,TC63_VerifyNetworkDisconnect,TC_63: Verify registration survives network disruption simulation,"functional,regression,ui"
64,Registration,RegistrationTests,TC64_VerifySessionTimeout,TC_64: Verify registration page is stable after an idle wait,"functional,regression,ui"
65,Registration,RegistrationTests,TC65_VerifyEnterKeySubmit,TC_65: Verify Enter key submits the registration form,"functional,regression,ui"
66,Registration,RegistrationTests,TC66_VerifyAutofillBrowser,TC_66: Verify form retains autofill-like prefetched data,"functional,regression,ui"
67,Registration,RegistrationTests,TC67_VerifyIncognitoRegistration,TC_67: Verify registration screen opens in incognito browser,"functional,regression,ui"
68,Registration,RegistrationTests,TC68_VerifyMobileView,TC_68: Verify registration form remains usable in mobile viewport,"functional,regression,ui"
69,Registration,RegistrationTests,TC69_VerifyTabletView,TC_69: Verify registration form remains usable in tablet viewport,"functional,regression,ui"
70,Registration,RegistrationTests,TC70_VerifyChromeBrowserRegistration,TC_70: Verify registration opens in Chrome browser,"functional,regression,ui"
71,Registration,RegistrationTests,TC71_VerifyFirefoxBrowserRegistration,TC_71: Verify registration opens in Firefox browser,"functional,regression,ui"
72,Registration,RegistrationTests,TC72_VerifyEdgeBrowserRegistration,TC_72: Verify registration opens in Edge browser,"functional,regression,ui"
73,Registration,RegistrationTests,TC73_VerifyAccessibilityScreenReader,TC_73: Verify form fields are accessible to assistive tools,"accessibility,functional,ui"
74,Registration,RegistrationTests,TC74_VerifyTabNavigation,TC_74: Verify Tab key advances focus through the form,"accessibility,functional,ui"
75,Registration,RegistrationTests,TC75_VerifyFieldMaxLength,TC_75: Verify form fields safely handle very long input,"functional,regression,ui"
76,Registration,RegistrationTests,TC76_VerifyFieldMinLength,TC_76: Verify minimum length inputs are handled gracefully,"functional,regression,ui"
77,Registration,RegistrationTests,TC77_VerifyEmojiInputFields,TC_77: Verify emoji input in fields is rejected,"functional,security,ui"
78,Registration,RegistrationTests,TC78_VerifyHtmlInjection,TC_78: Verify HTML injection is rejected,"functional,security,ui"
79,Registration,RegistrationTests,TC79_VerifyRateLimiting,TC_79: Verify repeated submissions remain stable,"functional,regression,ui"
80,Registration,RegistrationTests,TC80_VerifyActivationEmail,TC_80: Verify activation email feedback surfaces after submission,"consumer,functional,ui"
81,Registration,RegistrationTests,TC81_VerifyActivationLink,TC_81: Verify activation-link feedback surfaces after submission,"consumer,functional,ui"
82,Registration,RegistrationTests,TC82_VerifyResendActivation,TC_82: Verify activation flow surfaces a stable response,"consumer,functional,ui"
83,Registration,RegistrationTests,TC83_VerifyRegisterWithCookiesCleared,TC_83: Verify registration still works after cookies are cleared,"functional,regression,ui"
84,Registration,RegistrationTests,TC84_VerifyRegisterJsDisabled,TC_84: Verify registration form is usable before any JS-disabled path,"functional,security,ui"
85,Registration,RegistrationTests,TC85_VerifyApiFailureHandling,TC_85: Verify registration handles API rejection with stable UI response,"functional,regression,ui"
86,Registration,RegistrationTests,TC86_VerifyDatabaseLatency,TC_86: Verify registration flow remains stable under backend latency,"functional,regression,ui"
101,Login,LoginTests,TC101_VerifyLoginPageElementsDisplayed,TC_101: Verify login page elements are displayed,"functional,ui,consumer"
102,Login,LoginTests,TC102_VerifyPasswordFieldIsMasked,TC_102: Verify password field is masked,"functional,ui,security"
103,Login,LoginTests,TC103_VerifyEmptyFieldsValidation,TC_103: Verify empty fields validation messages,"functional,ui,consumer"
104,Login,LoginTests,TC104_VerifyEmptyEmailValidation,TC_104: Verify empty email validation message,"functional,ui,consumer"
105,Login,LoginTests,TC105_VerifyEmptyPasswordValidation,TC_105: Verify empty password validation message,"functional,ui,consumer"
106,Login,LoginTests,TC106_VerifyInvalidPassword,TC_106: Verify invalid password error message,"functional,ui,security"
107,Login,LoginTests,TC107_VerifyUnregisteredUserCannotLogin,TC_107: Verify unregistered user cannot login,"functional,ui,security"
108,Login,LoginTests,TC108_VerifyInvalidEmailFormat,TC_108: Verify invalid email format is rejected,"functional,ui,security"
109,Login,LoginTests,TC109_VerifyEmailWithLeadingSpace,TC_109: Verify email with leading space is trimmed,"functional,ui,consumer"
110,Login,LoginTests,TC110_VerifyEmailWithTrailingSpace,TC_110: Verify email with trailing space is trimmed,"functional,ui,consumer"
111,Login,LoginTests,TC111_VerifyUppercaseEmailLogin,TC_111: Verify uppercase email login is accepted,"functional,ui,consumer"
112,Login,LoginTests,TC112_VerifySqlInjectionEmailRejected,TC_112: Verify SQL injection email payload is rejected,"functional,security,ui"
113,Login,LoginTests,TC113_VerifyXssInjectionEmailRejected,TC_113: Verify XSS injection email payload is rejected,"functional,security,ui"
114,Login,LoginTests,TC114_VerifyPasswordWithSpaces,TC_114: Verify password with leading/trailing spaces is trimmed,"functional,ui,consumer"
115,Login,LoginTests,TC115_VerifyPasswordCopyPaste,TC_115: Verify password can be pasted into the field,"functional,ui,consumer"
116,Login,LoginTests,TC116_VerifyLongPassword,TC_116: Verify long password is handled safely,"functional,ui,security"
117,Login,LoginTests,TC117_VerifyRememberMeChecked,TC_117: Verify Remember Me checkbox is available and can be checked,"functional,ui,consumer"
118,Login,LoginTests,TC118_VerifyRememberMeUnchecked,TC_118: Verify Remember Me checkbox is available,"functional,ui,consumer"
119,Dashboard,DashboardTests,TC119_VerifyDashboardLoadsAfterSuccessfulLogin,TC_119: Verify dashboard loads after successful login,"functional,ui,consumer"
119,Login,LoginTests,TC119_VerifyBrowserRestart,TC_119: Verify session persists after browser restart with Remember Me,"functional,ui,consumer"
120,Dashboard,DashboardTests,TC120_VerifyDashboardUIElementsDisplayCorrectly,TC_120: Verify dashboard UI elements display correctly,"functional,ui,consumer"
120,Login,LoginTests,TC120_VerifyForgotPasswordLink,TC_120: Verify Forgot Password link redirects correctly,"functional,ui,consumer"
121,Dashboard,DashboardTests,TC121_VerifySidebarMenuNavigationWorks,TC_121: Verify sidebar menu navigation works,"functional,ui,consumer"
121,Login,LoginTests,TC121_VerifyResetWithValidEmail,TC_121: Verify password reset request with valid email,"functional,ui,consumer"
122,Dashboard,DashboardTests,TC122_VerifyDashboardWorksAfterRefresh,TC_122: Verify dashboard works after refresh,"functional,ui,consumer"
122,Login,LoginTests,TC122_VerifyResetWithInvalidEmail,TC_122: Verify password reset request with invalid email shows error,"functional,ui,security"
123,Dashboard,DashboardTests,TC123_VerifyDashboardLoadsWithinAcceptableTime,TC_123: Verify dashboard loads within acceptable time,"functional,performance,consumer"
123,Login,LoginTests,TC123_VerifyGmailLogin,TC_123: Verify Google login redirects to Google sign-in page,"functional,ui,consumer"
124,Dashboard,DashboardTests,TC124_VerifyRecommendedContentAppearsForConsumer,TC_124: Verify recommended content appears for consumer,"functional,ui,consumer"
124,Login,LoginTests,TC124_VerifyCancelGmailLogin,TC_124: Verify cancel Gmail login flow (Skipped - needs popup automation),"functional,ui,consumer"
125,Dashboard,DashboardTests,TC125_VerifyRecentlyPlayedContentVisible,TC_125: Verify recently played content is visible,"functional,ui,consumer"
125,Login,LoginTests,TC125_VerifyRegisterButton,TC_125: Verify Register button opens registration screen,"functional,ui,consumer"
126,Dashboard,DashboardTests,TC126_VerifyContinueListeningOptionVisible,TC_126: Verify continue listening option is visible,"functional,ui,consumer"
126,Login,LoginTests,TC126_VerifyRegisterUrlValidation,TC_126: Verify Register button URL contains register or signup,"functional,ui,consumer"
127,Dashboard,DashboardTests,TC127_VerifyUpgradeBannerVisibleForFreeUsers,TC_127: Verify upgrade banner is visible for free users,"functional,ui,consumer"
127,Login,LoginTests,TC127_VerifySqlInjectionLogin,TC_127: Verify SQL injection in both fields is rejected,"functional,security,ui"
128,Dashboard,DashboardTests,TC128_VerifySearchFromDashboard,TC_128: Verify search from dashboard,"functional,ui,consumer"
128,Login,LoginTests,TC128_VerifyXssAttack,TC_128: Verify XSS attack in both fields is rejected,"functional,security,ui"
129,Dashboard,DashboardTests,TC129_VerifyPlaylistsAccessible,TC_129: Verify playlists are accessible,"functional,ui,consumer"
129,Login,LoginTests,TC129_VerifyBruteForceAttempt,TC_129: Verify repeated invalid login attempts are handled safely,"functional,security,regression"
130,Dashboard,DashboardTests,TC130_VerifyFavoriteContentVisible,TC_130: Verify favorite content is visible,"functional,ui,consumer"
130,Login,LoginTests,TC130_VerifyDoubleClickLogin,TC_130: Verify double-clicking login button results in single login,"functional,ui,consumer"
131,Dashboard,DashboardTests,TC131_VerifyUploadOptionVisible,TC_131: Verify upload option is visible,"functional,ui,uploader"
131,Login,LoginTests,TC131_VerifySlowInternetLogin,TC_131: Verify login works with slow internet using network throttling,"functional,performance,consumer"
132,Dashboard,DashboardTests,TC132_VerifyUploadShortcutWorks,TC_132: Verify upload shortcut works,"functional,ui,uploader"
132,Login,LoginTests,TC132_VerifyNetworkDisconnect,TC_132: Verify login behavior when network is disconnected,"functional,performance,consumer"
133,Dashboard,DashboardTests,TC133_VerifyUploadedContentSummaryVisible,TC_133: Verify uploaded content summary is visible,"functional,ui,uploader"
133,Login,LoginTests,TC133_VerifyBrowserRefreshDuringLogin,TC_133: Verify login page remains accessible after refresh,"functional,ui,consumer"
134,Dashboard,DashboardTests,TC134_VerifyUploaderCanViewAnalytics,TC_134: Verify uploader can view analytics,"functional,ui,uploader"
134,Login,LoginTests,TC134_VerifyBrowserBackAfterLogin,TC_134: Verify browser back after login does not expose login form,"functional,security,consumer"
135,Dashboard,DashboardTests,TC135_VerifyUploaderCanSeeDrafts,TC_135: Verify uploader can see drafts,"functional,ui,uploader"
135,Login,LoginTests,TC135_VerifyValidLogin,TC_135: Verify valid login with correct credentials,"functional,ui,consumer"
136,Dashboard,DashboardTests,TC136_VerifyUploaderCanEditContent,TC_136: Verify uploader can edit content,"functional,ui,uploader"
137,Dashboard,DashboardTests,TC137_VerifyUploaderCanDeleteContent,TC_137: Verify uploader can delete content,"functional,ui,uploader"
138,Dashboard,DashboardTests,TC138_VerifyAdminDashboardLoads,TC_138: Verify admin dashboard loads,"functional,ui,admin"
139,Dashboard,DashboardTests,TC139_VerifyAdminCanViewUIElements,TC_139: Verify admin can view UI elements,"functional,ui,admin"
140,Dashboard,DashboardTests,TC140_VerifyAdminCanSearchContent,TC_140: Verify admin can search content,"functional,ui,admin"
141,Dashboard,DashboardTests,TC141_VerifyAdminCanAccessPlaylists,TC_141: Verify admin can access playlists,"functional,ui,admin"
142,Dashboard,DashboardTests,TC142_VerifyAdminCanAccessFavorites,TC_142: Verify admin can access favorites,"functional,ui,admin"
143,Dashboard,DashboardTests,TC143_VerifyAdminDashboardStability,TC_143: Verify admin dashboard stability,"functional,ui,admin"
144,Dashboard,DashboardTests,TC144_VerifyDashboardCannotBeAccessedWithoutLogin,TC_144: Verify dashboard cannot be accessed without login,"functional,security,consumer"
145,Dashboard,DashboardTests,TC145_VerifyRoleRestrictions,TC_145: Verify role restrictions,"functional,security,consumer"
146,Dashboard,DashboardTests,TC146_VerifySessionExpires,TC_146: Verify session management is in place,"functional,security,consumer"
147,Dashboard,DashboardTests,TC147_VerifyLoginOnMultipleDevices,TC_147: Verify session handling is in place,"functional,security,consumer"
148,Dashboard,DashboardTests,TC148_VerifyBackButtonBehavior,TC_148: Verify browser back button behavior,"functional,ui,consumer"
149,Dashboard,DashboardTests,TC149_VerifyDashboardUnderSlowNetwork,TC_149: Verify dashboard under slow network using CDP throttling,"functional,performance,consumer"
150,Dashboard,DashboardTests,TC150_VerifyResponsiveLayout,TC_150: Verify responsive layout,"functional,ui,consumer"
151,Dashboard,DashboardTests,TC151_VerifyDashboardSessionAcrossTabs,TC_151: Verify dashboard session across tabs,"functional,ui,consumer"
152,Dashboard,DashboardTests,TC152_VerifyLogoutFromDashboard,TC_152: Verify logout from dashboard,"functional,security,consumer"
153,Categories,ConsumerCategoriesTests,TC153_VerifyCategoriesSectionVisible,TC_153: Verify categories section is visible on dashboard,"functional,ui,consumer"
154,Categories,ConsumerCategoriesTests,TC154_VerifyAllCategoriesDisplayed,TC_154: Verify all categories are displayed after View All,"functional,ui,consumer"
155,Categories,ConsumerCategoriesTests,TC155_VerifyClickingCategoryOpensCategoryContent,TC_155: Verify clicking a category opens the category content,"functional,ui,consumer"
156,Categories,ConsumerCategoriesTests,TC156_VerifyContentRelatedToSelectedCategory,TC_156: Verify category page shows related content or stable empty state,"functional,ui,consumer"
157,Categories,ConsumerCategoriesTests,TC157_VerifyBehaviorWhenCategoryHasNoContent,TC_157: Verify behavior when a category has no content,"functional,ui,consumer"
158,Categories,ConsumerCategoriesTests,TC158_VerifyCategoriesSectionIsDisplayed,TC_158: Verify categories section is displayed on the dashboard,"functional,ui,consumer"
159,Categories,ConsumerCategoriesTests,TC159_VerifyCategoryCardsDisplayCorrectly,TC_159: Verify category cards display correctly,"functional,ui,consumer"
160,Categories,ConsumerCategoriesTests,TC160_VerifyClickingCategoryOpensCategoryPage,TC_160: Verify clicking a category card opens the category page,"functional,ui,consumer"
161,Categories,ConsumerCategoriesTests,TC161_VerifyBooksDisplayedUnderCategory,TC_161: Verify books are displayed under the selected category,"functional,ui,consumer"
162,Categories,ConsumerCategoriesTests,TC162_VerifySystemBehaviorWhenCategoryHasNoBooks,TC_162: Verify behavior when a category has no books,"functional,ui,consumer"
163,Categories,ConsumerCategoriesTests,TC163_VerifyViewAllOpensFullCategoryList,TC_163: Verify View All opens the full category list,"functional,ui,consumer"
164,Categories,ConsumerCategoriesTests,TC164_VerifyViewAllWhenNoCategoriesExist,TC_164: Verify View All behavior when no categories exist,"functional,ui,consumer"
165,Categories,ConsumerCategoriesTests,TC165_VerifyHorizontalScrollWorksForCategories,TC_165: Verify horizontal scroll works for the categories carousel,"functional,ui,consumer"
166,Categories,ConsumerCategoriesTests,TC166_VerifyTrendingShowsSectionDisplayed,TC_166: Verify trending shows section is displayed on dashboard,"functional,ui,consumer"
167,Categories,ConsumerCategoriesTests,TC167_VerifyClickingTrendingShowOpensDetails,TC_167: Verify clicking a trending show opens its details page,"functional,ui,consumer"
168,Categories,ConsumerCategoriesTests,TC168_VerifyTrendingShowsListPopulated,TC_168: Verify trending shows list contains valid entries,"functional,ui,consumer"
169,Categories,ConsumerCategoriesTests,TC169_VerifyBehaviorWhenNoTrendingShowsExist,TC_169: Verify behavior when no trending shows exist,"functional,ui,consumer"
170,Categories,ConsumerCategoriesTests,TC170_VerifyViewAllOpensTrendingShowsPage,TC_170: Verify View All opens the trending shows page,"functional,ui,consumer"
171,Categories,ConsumerCategoriesTests,TC171_VerifyViewAllWhenTrendingListEmpty,TC_171: Verify View All behavior when trending list is empty,"functional,ui,consumer"
172,Categories,ConsumerCategoriesTests,TC172_VerifyMoreRelatedShowsSectionVisible,TC_172: Verify more related shows section is visible on dashboard,"functional,ui,consumer"
173,Categories,ConsumerCategoriesTests,TC173_VerifyClickingRelatedShowOpensDetails,TC_173: Verify clicking a related show opens its details page,"functional,ui,consumer"
174,Categories,ConsumerCategoriesTests,TC174_VerifyBehaviorWhenNoRelatedShowsExist,TC_174: Verify behavior when no related shows exist,"functional,ui,consumer"
175,Categories,ConsumerCategoriesTests,TC175_VerifyViewAllOpensRelatedShowsPage,TC_175: Verify View All opens the related shows page,"functional,ui,consumer"
176,Categories,ConsumerCategoriesTests,TC176_VerifyViewAllWhenRelatedListEmpty,TC_176: Verify View All behavior when related list is empty,"functional,ui,consumer"
177,Categories,ConsumerCategoriesTests,TC177_VerifyUpcomingReleasesSectionVisible,TC_177: Verify upcoming releases section is visible on dashboard,"functional,ui,consumer"
178,Categories,ConsumerCategoriesTests,TC178_VerifyBehaviorWhenNoUpcomingReleasesExist,TC_178: Verify behavior when no upcoming releases exist,"functional,ui,consumer"
179,Categories,ConsumerCategoriesTests,TC179_VerifyViewAllOpensUpcomingReleasesPage,TC_179: Verify View All opens the upcoming releases page,"functional,ui,consumer"
180,Categories,ConsumerCategoriesTests,TC180_VerifyViewAllWhenNoUpcomingReleasesExist,TC_180: Verify View All behavior when no upcoming releases exist,"functional,ui,consumer"
181,Categories,ConsumerCategoriesTests,TC181_VerifyMostRatedSectionVisible,TC_181: Verify most rated section is visible on dashboard,"functional,ui,consumer"
182,Categories,ConsumerCategoriesTests,TC182_VerifyRatingsDisplayedCorrectly,TC_182: Verify ratings are displayed correctly,"functional,ui,consumer"
183,Categories,ConsumerCategoriesTests,TC183_VerifyBehaviorWhenNoRatedShowsExist,TC_183: Verify behavior when no rated shows exist,"functional,ui,consumer"
184,Categories,ConsumerCategoriesTests,TC184_VerifyViewAllOpensRatedShowsPage,TC_184: Verify View All opens the most rated page,"functional,ui,consumer"
189,Categories,ConsumerCategoriesTests,TC189_VerifySectionsLoadOnSlowNetwork,TC_189: Verify sections load successfully on slow network within SLA,"functional,performance,consumer"
190,Categories,ConsumerCategoriesTests,TC190_VerifySystemBehaviorOnRapidClicks,TC_190: Verify system behavior on multiple rapid clicks,"functional,performance,consumer"
191,Categories,ConsumerCategoriesTests,TC191_VerifySectionsInReloadAfterRefresh,TC_191: Verify sections reload successfully after a dashboard refresh,"functional,performance,consumer"
192,Security,SecurityTests,TC192_VerifyDirectCategoryUrlAccessWithoutLogin,TC_192: Verify direct category URL access without login,"security,functional,regression"
196,Security,SecurityTests,TC196_VerifyDirectRelatedShowsUrlAccessWithoutLogin,TC_196: Verify direct related-shows URL access without login,"security,functional,regression"
197,Security,SecurityTests,TC197_VerifyDirectRelatedShowDetailAccessWithoutLogin,TC_197: Verify related-show-detail access without login,"security,functional"
198,Security,SecurityTests,TC198_VerifyDirectUpcomingUrlAccessWithoutLogin,TC_198: Verify direct upcoming URL access without login,"security,functional,regression"
200,Security,SecurityTests,TC200_VerifyDirectMostRatedUrlAccessWithoutLogin,TC_200: Verify direct trending/most-rated URL access without login,"security,functional,regression"
202,Security,SecurityTests,TC202_VerifyDirectUrlAccessAfterSessionExpiry,TC_202: Verify direct URL access after session expiry,"security,functional,regression"
203,Security,SecurityTests,TC203_VerifyRestrictedDashboardPagesCannotOpenWithWrongRole,TC_203: Verify consumer cannot open restricted admin pages,"security,functional,regression"
204,Header/Footer,HeaderFooterTests,TC204_VerifyHeaderSectionVisibleOnDashboard,TC_204: Verify header section is visible on dashboard,"functional,ui,consumer"
205,Header/Footer,HeaderFooterTests,TC205_VerifyClickingLogoRedirectsToDashboard,TC_205: Verify clicking logo redirects to dashboard,"functional,ui,consumer"
206,Header/Footer,HeaderFooterTests,TC206_VerifySearchBarAcceptsInput,TC_206: Verify search bar accepts input,"functional,ui,consumer"
207,Header/Footer,HeaderFooterTests,TC207_VerifySearchBehaviorWithInvalidInput,TC_207: Verify search behavior with invalid input,"functional,ui,consumer"
212,Header/Footer,HeaderFooterTests,TC212_VerifyThemeToggleButtonVisible,TC_212: Verify theme toggle button is visible,"functional,ui,consumer"
216,Header/Footer,HeaderFooterTests,TC216_VerifyProfileIconVisible,TC_216: Verify profile icon is visible,"functional,ui,consumer"
217,Header/Footer,HeaderFooterTests,TC217_VerifyClickingProfileIconOpensMenu,TC_217: Verify clicking profile icon opens menu,"functional,ui,consumer"
218,Header/Footer,HeaderFooterTests,TC218_VerifyUserCanLogout,TC_218: Verify user can logout,"functional,ui,consumer"
219,Header/Footer,HeaderFooterTests,TC219_VerifySessionEndsAfterLogout,TC_219: Verify session ends after logout,"functional,ui,security"
220,Header/Footer,HeaderFooterTests,TC220_VerifyFooterSectionDisplayed,TC_220: Verify footer section is displayed,"functional,ui,consumer"
221,Header/Footer,HeaderFooterTests,TC221_VerifyAllFooterLinksDisplayed,TC_221: Verify all footer links are displayed,"functional,ui,consumer"
222,Header/Footer,HeaderFooterTests,TC222_VerifyPrivacyPolicyPageOpens,TC_222: Verify privacy policy page opens,"functional,ui,consumer"
223,Header/Footer,HeaderFooterTests,TC223_VerifyTermsPageOpens,TC_223: Verify terms page opens,"functional,ui,consumer"
224,Header/Footer,HeaderFooterTests,TC224_VerifyContactPageOpens,TC_224: Verify contact page opens,"functional,ui,consumer"
225,Header/Footer,HeaderFooterTests,TC225_VerifyFacebookLinkRedirectsCorrectly,TC_225: Verify Facebook link redirects correctly,"functional,ui,consumer"
226,Header/Footer,HeaderFooterTests,TC226_VerifyInstagramLinkRedirectsCorrectly,TC_226: Verify Instagram link redirects correctly,"functional,ui,consumer"
